,DRS,popEst
0,DRS 01 - Grande São Paulo,21702084.0
1,DRS 02 - Araçatuba,791256.0
2,DRS 03 - Araraquara,1025982.0
3,DRS 04 - Baixada Santista,1865397.0
4,DRS 05 - Barretos,440907.0
5,DRS 06 - Bauru,1800757.0
6,DRS 07 - Campinas,4671287.0
7,DRS 08 - Franca,713458.0
8,DRS 09 - Marília,1144665.0
9,DRS 10 - Piracicaba,1586546.0
10,DRS 11 - Presidente Prudente,775627.0
11,DRS 12 - Registro,284509.0
12,DRS 13 - Ribeirão Preto,1523682.0
13,DRS 14 - São João da Boa Vista,834872.0
14,DRS 15 - São José do Rio Preto,1629470.0
15,DRS 16 - Sorocaba,2530829.0
16,DRS 17 - Taubaté,2552610.0
17,SP,45954975.0
